google_path,label,x_c,y_c,width,height
/content/00GHIRI.jpg,0,0.3,0.7,0.2,0.2
/content/01GHIRI.jpg,0,0.175,0.7749999999999999,0.15,0.15
/content/02GHIRI.jpg,0,0.175,0.7749999999999999,0.15,0.15
/content/03GHIRI.jpg,0,0.15,0.75,0.1,0.2
/content/04GHIRI.jpg,0,0.15,0.75,0.1,0.2
/content/05GHIRI.jpg,0,0.15,0.75,0.1,0.2
/content/06GHIRI.jpg,0,0.2,0.7749999999999999,0.2,0.15
/content/07GHIRI.jpg,0,0.15,0.75,0.1,0.2
/content/08GHIRI.jpg,0,0.15,0.75,0.1,0.2
/content/09GHIRI.jpg,0,0.225,0.7250000000000001,0.25,0.15
/content/10GHIRI.jpg,0,0.625,0.65,0.15,0.3
/content/11GHIRI.jpg,0,0.6000000000000001,0.6499999999999999,0.2,0.2
/content/12GHIRI.jpg,0,0.6499999999999999,0.675,0.2,0.25
/content/13GHIRI.jpg,0,0.7,0.6499999999999999,0.2,0.2
/content/14GHIRI.jpg,0,0.6499999999999999,0.675,0.2,0.25
/content/15GHIRI.jpg,0,0.6499999999999999,0.675,0.2,0.25
/content/16GHIRI.jpg,0,0.675,0.675,0.25,0.25
/content/17GHIRI.jpg,0,0.55,0.6499999999999999,0.2,0.2
/content/20GHIRI.jpg,0,0.4,0.675,0.2,0.25
/content/21GHIRI.jpg,0,0.475,0.75,0.15,0.2
/content/22GHIRI.jpg,0,0.475,0.7749999999999999,0.15,0.15
/content/23GHIRI.jpg,0,0.475,0.7749999999999999,0.15,0.15
/content/24GHIRI.jpg,0,0.4,0.625,0.1,0.25
/content/25GHIRI.jpg,0,0.4,0.625,0.1,0.15
/content/26GHIRI.jpg,0,0.6499999999999999,0.825,0.2,0.25
/content/27GHIRI.jpg,0,0.675,0.8500000000000001,0.25,0.2
/content/28GHIRI.jpg,0,0.55,0.725,0.2,0.25
/content/29GHIRI.jpg,0,0.425,0.6000000000000001,0.15,0.2
/content/30GHIRI.jpg,0,0.5,0.6499999999999999,0.2,0.2
/content/31GHIRI.jpg,0,0.525,0.675,0.25,0.15
/content/32GHIRI.jpg,0,0.5249999999999999,0.6499999999999999,0.15,0.2
/content/33GHIRI.jpg,0,0.5,0.6000000000000001,0.2,0.2
/content/34GHIRI.jpg,0,0.475,0.575,0.15,0.25
/content/35GHIRI.jpg,0,0.475,0.6499999999999999,0.15,0.2
/content/36GHIRI.jpg,0,0.475,0.675,0.15,0.15
/content/37GHIRI.jpg,0,0.425,0.675,0.25,0.15
/content/38GHIRI.jpg,0,0.425,0.675,0.25,0.15
/content/39GHIRI.jpg,0,0.425,0.675,0.15,0.15
/content/010GHIRI.jpg,0,0.375,0.7250000000000001,0.15,0.15
/content/011GHIRI.jpg,0,0.15,0.7749999999999999,0.1,0.15
/content/012GHIRI.jpg,0,0.15,0.75,0.1,0.1
/content/013GHIRI.jpg,0,0.2,0.75,0.2,0.2
/content/014GHIRI.jpg,0,0.2,0.75,0.2,0.2
/content/015GHIRI.jpg,0,0.225,0.75,0.25,0.2
/content/016GHIRI.jpg,0,0.3,0.7,0.2,0.2
/content/017GHIRI.jpg,0,0.325,0.7,0.15,0.2
/content/210GHIRI.jpg,0,0.45,0.6000000000000001,0.2,0.2
/content/211GHIRI.jpg,0,0.575,0.825,0.15,0.25
/content/212GHIRI.jpg,0,0.55,0.8500000000000001,0.1,0.2
/content/213GHIRI.jpg,0,0.5249999999999999,0.775,0.15,0.25
/content/214GHIRI.jpg,0,0.35,0.675,0.1,0.25
/content/310GHIRI.jpg,0,0.45,0.675,0.2,0.15
/content/311GHIRI.jpg,0,0.5,0.7,0.2,0.2
/content/312GHIRI.jpg,0,0.5249999999999999,0.7,0.15,0.2
/content/313GHIRI.jpg,0,0.5249999999999999,0.725,0.15,0.25
/content/img56.jpg,0,0.35,0.675,0.3,0.45
/content/img57.jpg,0,0.35,0.575,0.7,0.35
/content/img58.jpg,0,0.425,0.475,0.35,0.25
/content/img59.jpg,0,0.35,0.425,0.3,0.25
/content/img60.jpg,0,0.6000000000000001,0.65,0.2,0.3
/content/img61.jpg,0,0.625,0.4,0.25,0.2
/content/img62.jpg,0,0.475,0.55,0.25,0.4
/content/img63.jpg,0,0.525,0.45,0.25,0.4
/content/img64.jpg,0,0.5,0.375,0.2,0.35
/content/img65.jpg,0,0.2,0.3999999999999999,0.2,0.4
/content/img66.jpg,0,0.5,0.7,0.4,0.3
/content/img67.jpg,0,0.35,0.675,0.5,0.25
/content/img68.jpg,0,0.425,0.75,0.45,0.5
/content/img69.jpg,0,0.7,0.6,0.2,0.3
/content/img70.jpg,0,0.475,0.3,0.25,0.3
/content/img71.jpg,0,0.275,0.425,0.55,0.45
/content/img72.jpg,0,0.325,0.575,0.65,0.45
/content/img73.jpg,0,0.325,0.625,0.65,0.45
/content/img74.jpg,0,0.45,0.3249999999999999,0.2,0.35
/content/img75.jpg,0,0.35,0.15,0.1,0.3
/content/img76.jpg,0,0.825,0.625,0.15,0.35
/content/img77.jpg,0,0.65,0.35,0.5,0.4
/content/img78.jpg,0,0.45,0.35,0.4,0.4
